업체명,소재지,위도,경도
중부동물병원,대구광역시 중구 봉산동 53번지 2호,35.8649779,128.5947829
동산동물병원,대구광역시 중구 남성로 1번지 15통 5반  205호,35.8696772,128.5874906
대구S동물병원,"대구광역시 중구 대신동 305번지 1호 4통 4반 태왕아너스스카이 상가 101호, 102호, 103호",35.8689581,128.5817149
고려애견종합병원,대구광역시 중구 남산동 661번지 1호,35.8628658,128.5928393
오원석 황금동물병원,대구광역시 중구 대봉동 48번지 13호,35.8600181,128.6046731
삼덕종합동물병원,대구광역시 중구 삼덕동1가 41번지 8호,35.8648391,128.5984071
동인동물병원,대구광역시 중구 동인동4가 332번지,35.86843,128.6096901
대구축산 동물병원,대구광역시 중구 대봉동 715번지 15호,35.8634405,128.5999744
달성공원 동물병원,대구광역시 중구 달성동 294번지 1호 달성공원,35.874004,128.5780991
원동물병원,대구광역시 중구 대봉동 40번지 135호,35.8585178,128.6054954
열린동물병원,대구광역시 동구 신암동 799번지 1호,35.8816911,128.6160415
박동물병원,대구광역시 동구 신암동 1476번지,35.8866893,128.6380636
대구동물병원,대구광역시 동구 신천동 538번지 22호,35.8740821,128.6164189
대경동물병원,대구광역시 동구 신천동 137번지 4호,35.8684165,128.6258051
박순복동물병원,대구광역시 동구 효목동 80번지 7호,35.8869044,128.6398186
21세기종합동물병원,대구광역시 동구 효목동 64번지 6호,35.885902,128.6367902
신라동물병원,대구광역시 동구 효목동 291번지 13호,35.8798421,128.6355024
이끌림동물병원,대구광역시 동구 방촌동 1118번지 109호,35.8781015,128.6719585
이스턴24시동물병원,대구광역시 동구 신기동 179번지 5호,35.8727096,128.7038024
율하동물병원,대구광역시 동구 율하동 1292번지,35.8647139,128.6909482
우리가족 동물병원,대구광역시 동구 율하동 1107번지,35.8728884,128.6984929
쿨펫동물병원,대구광역시 동구 율하동 1117번지 롯데마트 4층 동물병원,35.8688128,128.6927563
앨리스동물병원,대구광역시 동구 신서동 621번지 22호,35.8716894,128.7250073
이시아동물병원,대구광역시 동구 봉무동 1520번지 1호  106호,35.9275063,128.6418887
킴스동물병원,대구광역시 동구 방촌동 1118번지 120호,35.8781015,128.6719585
다사랑종합동물병원,대구광역시 동구 신암동 1196번지 57호,35.8787087,128.6100192
쿨펫동물병원,대구광역시 동구 신서동 520번지 1호 이마트 2층,35.8707716,128.7274328
봄이온동물병원,대구광역시 동구 각산동 444번지 7호,35.8761122,128.714156
변수의과의원,대구광역시 동구 검사동 957번지 41호,35.8839037,128.6577157
진동물병원,대구광역시 서구 비산동 400번지 16호,35.8721329,128.5756387
보경동물병원,대구광역시 서구 비산동 511번지 48호,35.8770635,128.571023
더펫동물병원,대구광역시 서구 비산동 1302번지 9호,35.8890742,128.5607441
아이펫동물병원,대구광역시 서구 평리동 1360번지,35.8638288,128.5565623
페츠업 동물병원,대구광역시 서구 평리동 1371번지 3호,35.8700753,128.5553225
더난 동물병원,대구광역시 서구 중리동 33번지 4호,35.8693197,128.5504981
삼성동물병원,대구광역시 서구 내당동 230번지 10호,35.8601911,128.5571547
현대동물병원,대구광역시 남구 봉덕동 554번지 2호,35.8449081,128.6004204
효성동물병원,대구광역시 남구 봉덕동 1045번지 20호,35.838807,128.6042144
이천종합동물병원,대구광역시 남구 봉덕동 554번지 10호,35.8449888,128.59979
우리동물병원,대구광역시 남구 봉덕동 555번지 9호,35.8445575,128.599696
남부동물병원,대구광역시 남구 대명동 807번지 13호 45통 1반,35.8404167,128.5752102
독사랑동물병원,대구광역시 남구 대명동 176번지 7호,35.8432294,128.5866446
중앙동물병원,대구 남구 대명로 38 무방상가 1층 8호,35.8384247,128.5618884
대흥동물병원,대구광역시 남구 대명동 332번지 16호 17통 2반,35.8407469,128.582245
리더스동물병원,대구광역시 남구 대명동 1636번지 19호,35.8396632,128.5708622
알프스동물병원,대구광역시 남구 봉덕동 562번지 15호,35.8411377,128.5993836
대경연합동물영상센터,대구광역시 남구 대명동 1897번지 7호 2층,35.8528298,128.5837759
푸른동물병원,대구광역시 북구 고성동3가 1번지 5호,35.8834695,128.5887044
아프리카 동물병원,대구광역시 북구 침산동 241번지 1호,35.8867368,128.59145
경북가축병원,대구광역시 북구 노원동2가 290번지 3호,35.8886407,128.5731607
대구24시동물병원,대구광역시 북구 노원동1가 1번지 8호,35.8898296,128.5825078
복현동물병원,대구광역시 북구 산격동 495번지 42호,35.8984419,128.6135868
경북대학교 수의과대학 부속동물병원,대구광역시 북구 산격동 1370번지 1호 경북대학교 수의과대학,35.8898417,128.6126953
가나동물병원,대구광역시 북구 산격동 1216번지 4호,35.8994947,128.6080816
북부동물병원,대구광역시 북구 대현동 229번지 19호,35.8860037,128.6032923
칠곡종합동물병원,대구광역시 북구 태전동 415번지 1호  102호,35.9224937,128.5465525
강북동물병원,대구광역시 북구 태전동 1049번지 4호,35.9262711,128.5477177
키다리동물병원,대구광역시 북구 구암동 765번지 2호 동재빌딩 101호,35.9437584,128.5642558
동명동물병원,대구광역시 북구 읍내동 781번지 1호,35.9431455,128.5504632
강동물병원,대구광역시 북구 관음동 1383번지 14호,35.9388607,128.5492709
늘푸른종합동물병원,대구광역시 북구 관음동 1386번지 7호,35.9377761,128.5489519
굿모닝동물병원,대구광역시 북구 동천동 932번지 4호,35.9370018,128.5571934
도그플러스 동물병원(미유펫 대구점),대구광역시 북구 동천동 668번지 1호 13통 5반 칠곡홈플러스 301호,35.9386142,128.5598081
가온동물병원,대구광역시 북구 서변동 1746번지 9호,35.9216867,128.5964172
대구축협동물병원,대구광역시 북구 검단동 700번지 2호,35.9152094,128.6227874
하루동물병원,대구광역시 북구 검단동 573번지,35.9123558,128.6133519
신한동물병원,대구광역시 북구 칠성동2가 2번지 2호,35.8856733,128.5877583
다온동물병원,대구광역시 북구 태전동 1113번지,35.9219392,128.544655
준 동물병원,대구광역시 북구 복현동 209번지 1호,35.8977464,128.6165303
플러스동물의료센터,대구광역시 북구 칠성동2가 371번지 2호,35.879674,128.5963911
태전동물병원,대구광역시 북구 태전동 1068번지,35.9290044,128.5474052
올리브동물병원,대구광역시 북구 산격동 1838번지,35.9016345,128.6080747
세븐동물병원,대구광역시 북구 동천동 905번지 2호,35.9426903,128.5584824
라라(Lara) 동물병원,대구광역시 북구 침산동 269번지 10호 명성푸르지오 101동 A1호,35.8893813,128.5901516
순풍동물병원,대구광역시 북구 태전동 1195번지,35.9219392,128.544655
범어동물병원,대구광역시 수성구 범어동 225번지 17호,35.8599487,128.6359215
제니스동물병원,대구광역시 수성구 범어동 167번지 18호,35.8591362,128.6334416
로얄동물병원,대구광역시 수성구 범어동 1161번지,35.8668445,128.6185309
보현동물병원,대구광역시 수성구 범어동 96번지 9호,35.8541999,128.6386867
만촌동물병원,대구광역시 수성구 만촌동 974번지 1호,35.868101,128.6464221
선동물병원,대구광역시 수성구 만촌동 1328번지 13호,35.8725572,128.6379669
금강동물병원,대구광역시 수성구 만촌동 1326번지 8호,35.8716849,128.6358869
메트로 동물병원,대구광역시 수성구 만촌동 950번지 1호,35.8657044,128.6403679
조은동물의료원,대구광역시 수성구 만촌동 1039번지 28호,35.8585071,128.6431068
