사업장명칭,전화번호,사업장소재지(지번),Latitude,Longitude
권약국,053-981-2575,대구광역시 동구 지묘동 506-8,35.9409044,128.6394799
다사랑동물약국,053-965-8275,대구광역시 동구 신서동 530-4,35.8663469,128.7250816
더그린약국,053-985-7008,대구광역시 동구 불로동 395-1,35.9120905,128.6405022
더샵약국,053-986-9119,대구광역시 동구 봉무동 1542-3,35.9229843,128.6391435
맘스동물약국,053-965-8575,대구광역시 동구 신서동 520-1,35.8708661,128.7274592
메디팜 큰사랑약국,053-964-7585,대구광역시 동구 율하동 1440,35.8633734,128.6956701
새혜민약국,053-961-9111,대구광역시 동구 신서동 488,35.8719172,128.7293636
성도약국,053-962-0937,대구광역시 동구 율하동 921-5번지,35.869985,128.6997808
신세계로 약국,053-983-7415,대구광역시 동구 방촌동 886-9번지,35.8813177,128.6662332
신세계약국,053-744-1122,대구광역시 동구 신천동 1506번지,35.8692707,128.6230799
신암동물약국,053-247-3402,대구광역시 동구 신암동 216-25번지,35.8823705,128.6213318
신암플러스 약국,053-955-7474,대구광역시 동구 신암동 588-3,35.8829128,128.6215532
신영약국,053-965-6574,대구광역시 동구 동호동 107-8번지,35.8667322,128.7141726
엔젤약국,053-961-9696,대구광역시 동구 각산동 1082번지,35.8830684,128.7097695
우리약국,053-422-6606,대구광역시 동구 신천동 642-1번지,35.8711751,128.615939
유림약국,053-941-0688,대구광역시 동구 신암동 107-5번지,35.885923,128.6334909
율하동물약국,053-964-7588,대구광역시 동구 율하동 1438-110번지,35.8632982,128.6963604
이시아약국,053-984-6272,대구광역시 동구 봉무동 1543-1번지 이스트애플 108호,35.9263636,128.6434628
인애약국,053-956-1557,대구광역시 동구 신암동 603-127번지,35.8824886,128.619749
정약사동물약국,053-985-6622,대구광역시 동구 방촌동 907-4번지,35.881864,128.6650771
지묘제일약국,053-981-0770,대구광역시 동구 지묘동 333번지,35.9402957,128.640048
햇님약국,053-965-5556,대구광역시 동구 율하동 1156번지,35.8666447,128.6918387
행복한약국,053-961-6636,대구광역시 동구 신서동 530-4번지,35.8663469,128.7250816
현대온누리동물약국,053-986-7600,대구광역시 동구 방촌동 1070-1번지 현대온누리약국,35.881297,128.6652161
대명동물약국,053-651-0408,대구광역시 남구 대명동 52-5 1층,35.8459906,128.5889487
새평화약국,053-628-2898,대구광역시 남구 대명3동 2304,35.8532031,128.5745873
백일온누리약국,053-655-0109,대구광역시 남구 대명로 12,35.8375635,128.5588771
봄약국,053-653-6004,대구광역시 남구 중앙대로 151,35.8468705,128.5901896
세아온누리동물약국,053-622-2255,대구광역시 남구 대명동 1623-2,35.8397338,128.564675
송현경북약국,053-656-3995,대구광역시 달서구 송현1동 226-5,35.829794,128.5510994
제중약국,053-637-0911,대구광역시 달서구 진천동 117-19,35.8161101,128.5308523
우리함께약국,053-656-5521,대구광역시 달서구 두류동 495-1,35.8549554,128.5508892
꿈나무약국,063-641-5599,대구광역시 달서구 한실로 6길 98,35.7979817,128.5289049
연금약국,053-592-3310,대구광역시 달서구 이곡동 1198-5,35.855018,128.5067464
바른온누리약국,053-759-5518,대구광역시 달서구 달구벌대로 1580,35.8506894,128.5399615
파티마약국,053-635-6446,대구광역시 달서구 월성동 273,35.8326319,128.530545
건약국,053-638-5534,대구광역시 달서구 상인동 134번지,35.8198536,128.5307997
다나약국,053-624-1003,대구광역시 달서구 성당동 262-1,35.8376311,128.555766
마더스약국,053-585-6168,대구광역시 달서구 이곡1동 1254,35.8533378,128.5101866
성서동물약국,053-593-0330,대구광역시 달서구 이곡동 1248-3,35.8549684,128.5110108
하늘약국,053-593-0330,대구광역시 달서구 상인동 1546-5,35.814632,128.5479072
바오로약국,053-637-9195,대구광역시 달서구 월성동 1825,35.8282163,128.5255044
효성약국,053-633-3635,대구광역시 달서구 달구벌대로 1728,35.8564524,128.5546164
싱싱약국,053-587-7585,대구광역시 달서구 신당동 1804-8,35.8553338,128.4954288
자생약국,053-653-2472,대구광역시 달서구 성당동 115-4,35.8483246,128.5676773
즐거운약국,010-2380-2996,대구광역시 북구 팔달로 149,35.8891165,128.5667067
서울약국,053-313-3325,대구광역시 북구 구암동 765-3,35.9434641,128.5641639
건강드림약국,053-325-7012,대구광역시 북구 동천동 931-5,35.937139,128.5594674
경북약국,053-955-3383,대구광역시 북구 대현2동 407-12,35.8823254,128.6095374
아포동물약국,053-312-3525,대구광역시 북구 태전동 422-16,35.9225816,128.5472324
한솔약국,053-325-2888,대구광역시 북구 칠곡 중앙대로 428,35.9338644,128.5489559
팔공약국,053-325-2888,대구광역시 북구 동천동 878-1,35.9321077,128.5558336
보건정문약국,053-322-9909,대구광역시 북구 동천동 952-4,35.9427463,128.557677
박약국,053-359-1999,대구광역시 북구 칠성동 2가 172번지,35.878995,128.5953031
늘푸른약국,053-325-9249,대구광역시 북구 동천동 931-4,35.9371625,128.559257
신평리약국,053-527-8575,대구광역시 서구 평리4동 1371-1,35.8702279,128.5552694
신성약국,053-555-7732,대구광역시 서구 평리동 498-15,35.8794346,128.5588122
명문온누리약국,053-567-6745,대구광역시 서구 내당1동 219-16,35.8596412,128.5618133
수성동물약국,053-752-2120,대구광역시 수성구 수성동4가 1012-30,35.8637776,128.6182967
제일약국,053-793-8883,대구광역시 수성구 시지동 달구벌대로 3121,35.8426367,128.6986615
애니약국,053-264-1898,대구광역시 수성구 범어동 171-4,35.8591926,128.6352279
사랑온누리약국,053-793-1144,대구광역시 수성구 사월동 464번지,35.8402931,128.7155417
해맑은약국,053-751-6066,대구광역시 수성구 명덕로 385,35.8549158,128.6121331
대화약국,053-763-4236,대구광역시 수성구 수성로 300,35.8522494,128.6136138
요한약국,053-795-2112,대구광역시 수성구 신매동 10-7,35.8364619,128.71595
맑은샘약국,053-761-0911,대구광역시 수성구 지산1동 918번지,35.8386988,128.6284828
사랑제일약국,053-745-9955,대구광역시 수성구 명덕로 435,35.8544432,128.6178379
한일약국,053-424-4664,대구광역시 중구 동성로 2가 56,35.8705373,128.5960436
반월당메트로,053-253-2536,대구광역시 중구 덕산동 반월당메트로 지하상가,35.8655197,128.59339
후문건약국,053-255-3989,대구광역시 중구 봉산동 152-5,35.8654192,128.5968402
사랑온누리약국,053-252-7080,대구광역시 중구 국채보상로 626-1,35.8700779,128.5990633
행복약국,053-422-2198,대구광역시 중구 남산동 100-5,35.8639096,128.5821365
동산동,053-255-7839,대구광역시 중구 동산동 58-2,35.8704277,128.5827356
대구동물약국,053-637-5435,대구광역시 달성군 화원읍 비슬로 2578,35.8033763,128.4988181
사랑모아동물약국,053-636-0599,대구광역시 달성군 유가면 테크노상업로 108,35.6932353,128.4605069
비슬약국,053-616-8267,대구광역시 달성군 유가면 봉리 608-1,35.6931234,128.4660707
바른손약국,053-615-1113,대구광역시 달성군 구지면 응암리,35.6490215,128.4189419
튼튼약국,053-588-2175,대구광역시 달성군 다사읍 서재리 423-1,35.8716814,128.4973168
