동물보호센터명,동물보호센터유형,구조대상동물,소재지도로명주소,위도,경도,전화번호,평일운영종료시각,평일분양시작시각,평일분양종료시각,주말운영시작시각,주말운영종료시각,주말분양시작시각,주말분양종료시각,휴무일,수의사인원수,사양관리사인원수,진료실수,사육실수,격리실수,사료보관실수,구조운반용차량보유대수
누리동물병원,법인,유기동물,부산광역시 해운대구 송정2로 13번길 46,35.1948541,129.2061938,051-701-7599,12:00,9:00,18:00,0:00,12:00,9:00,18:00,"토,일,공휴일",1,5,1,9,1,1,3
누리동물병원,동물병원,"개, 고양이 등 야생동물이 아닌 유기동물",부산광역시 해운대구 해운대로 1252,35.19653562,129.2060944,051-701-7599,12:00,13:00,17:00,12:00,12:00,*****,*****,연중무휴,2,5,1,9,1,1,3
산청동물보호센터,법인,개+고양이,경상남도 산청군 산청읍 모고리 1349,35.42615,127.8811889,055-970-7842,14:00,10:00,14:00,*****,*****,*****,*****,연중무휴,2,1,1,2,1,1,0
청주시반려동물보호센터,단체,"개, 고양이, 기타 등",충청북도 청주시 흥덕구 서부로 411-55,36.6370179,127.4674818,043-231-0047,17:00,9:00,17:00,9:00,17:00,9:00,17:00,일요일,2,3,1,3,1,1,1
(사)유기동물 및 동물보호 관리협회,법인,"개,고양이,기타",부산광역시 강서구 가락대로 1283번길 25-2(봉림동),35.178947,128.899747,051-971-6208,17:00,*****,*****,*****,*****,*****,*****,일요일,1,5,*****,*****,*****,*****,*****
서초동물사랑센터,법인,개,서울특별시 서초구  양재천로19길 22 (양재동),37.4763321,127.0381241,02-6956-7980,17:00,10:00,17:00,10:00,17:00,10:00,17:00,"매주월요일, 법정공휴일(일요일제외)",0,5,0,1,1,1,0
제천시동물보호센터,단체,1.유실유기동물 2. 피학대 동물 중 소유자를 알 수 없는 동물 3. 소유자로부터 제8조제2항에 따른 학대를 받아 적정하게 치료보호받을 수 없다고 판단되는 동물,충청북도 제천시 산곡동 94-1,37.097025,128.203426,043-647-0059,17:00,9:00,17:00,*****,*****,*****,*****,"토,일요일,공휴일",0,1,0,29,2,1,1
동해시유기동물보호소,단체,"개, 고양이",강원도 동해시 대동로 159-13,37.4996946,129.1285969,033-522-2990,17:00,13:00,15:00,10:00,15:00,0:00,0:00,없음,1,3,0,2,1,1,1
(사)한국동물구조관리협회,법인,개+고양이+기타,경기도 양주시 남면 감악산로 63-37,37.870073,126.983225,031-868-2851,17:00,9:00,17:00,9:00,16:00,9:00,16:00,일요일,1,9,1,3,1,1,5
성일동물병원,동물병원,개 고양이,강원도 철원군 금학로 284-1,38.209944,127.21717,033-450-8905,18:00,9:00,18:00,9:00,18:00,9:00,18:00,공휴일,1,1,1,1,1,1,1
당진시동물보호소,개인,"개, 고양이",충청남도 당진시 고대면 연동로 30-6,36.934202,126.596254,041-356-8210,18:00,9:00,18:00,*****,*****,*****,*****,없음,1,3,1,5,1,1,1
경동동물병원,동물병원,"개, 고양이, 염소",인천광역시 중구 개항로 68,37.471967,126.629931,032-765-9988,18:00,9:00,18:00,10:00,18:00,10:00,18:00,없음,1,1,1,2,1,1,1
인천수의사회 유기동물보호소,단체,"개, 고양이, 토끼, 기니픽, 고슴도치",인천광역시 계양구 다남로165번길 56,37.56623917,126.719643,032-515-7567,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,1,4,1,5,1,2,2
백마동물병원,동물병원,"개, 고양이","인천광역시 부평구 부평대로 132, 1층",37.5032695,126.7220809,032-528-1359,18:00,9:30,18:00,9:30,18:00,9:30,18:00,일요일,1,4,1,1,1,1,2
의령군 유기동물 임시보호소,개인,유기동물(개),경상남도 의령군 용덕면 덕암로6길 64-14,35.3409103,128.266661,055-570-4202,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,1,1,0,*****,*****,*****,*****
누리동물보호센터,동물병원,유기유실동물 및 피학대동물,부산광역시 해운대구 해운대로 1252(송정동),35.19653562,129.2060944,051-701-7599,18:00,9:00,18:00,0:00,0:00,*****,*****,구조보호활동 휴무 없음(사무실은 주말 휴무),2,2,1,5,1,1,2
최상오동물병원,동물병원,"개,고양이 등 유기동물",충청북도 보은군 보은읍 보은로 119-1,36.486005,127.718778,043-543-0753,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,1,1,1,10,1,1,1
진천동물병원,동물병원,개+고양이,충청북도 진천군 진천읍 문화6안길 14-1,36.862278,127.436167,043-533-7212,18:00,9:00,18:00,*****,*****,*****,*****,매주 토요일 일요일,1,1,1,2,1,1,2
양양군유기동물보호소,법인,개,강원도 양양군 손양면 동해대로 2558,38.0750765,128.6339979,033-670-2869,18:00,9:00,18:00,0:00,0:00,0:00,0:00,토요일+일요일+공휴일,0,2,0,1,0,1,1
유기동물보호센터,법인,유기견,경상북도 울릉군 울릉읍 신리길 68,37.468136,130.877469,054-790-6466,18:00,9:00,18:00,*****,*****,*****,*****,"공휴일, 국경일",3,1,0,3,1,1,1
목포시유기동물보호소,개인,개+고양이,전라남도 무안군 삼향읍 석매길 36,34.85347034,126.4314953,061-270-8693,18:00,15:00,16:00,9:00,18:00,15:00,16:00,연중무휴,0,1,*****,2,1,1,1
인천수의사협회,법인,개,인천광역시 계양구 다남로165번길56(다남동),37.56623917,126.719643,032-515-7567,18:00,13:30,17:00,9:00,13:00,0:00,0:00,연중무휴,1,6,1,3,1,1,1
서구동물보호센터,단체,개+고양이+기타동물,대구광역시 북구 호국로 229,35.922347,128.599041,053-764-3708,18:00,9:30,18:30,9:30,16:00,9:30,16:00,공휴일,5,5,5,5,5,5,1
한국야생동물보호협회,법인,반려동물,경기도 안산시 상록구 청곡길 50,37.34026022,126.8700077,031-296-0124,18:00,9:00,18:00,9:00,18:00,9:00,18:00,일요일,1,2,1,1,1,1,1
우남동물병원,동물병원,"개,고양이",전라남도 장성군 장성읍 청운길 19-1,35.301425,126.781015,061-393-9776,18:00,9:00,18:00,9:00,18:00,9:00,18:00,"명절,휴가 등",1,0,1,5,1,1,1
백호동물병원,동물병원,개+고양이,경상남도 고성군 고성읍 중앙로15번길 62,34.977085,128.3223942,055-673-7194,18:00,9:00,18:00,*****,*****,*****,*****,매주 토요일 일요일,1,1,1,1,1,1,1
부산동물보호센터,단체,"유실,유기, 피학대 동물",부산광역시 강서구 군라2길 206(대저2동),35.134758,128.928206,051-832-7119,18:00,12:00,17:00,12:00,17:00,10:00,13:00,일요일,1,2,1,7,1,1,3
